City,Latitude,Longitude,Hotel Name
nome,64.5,-165.41,Aurora Inn & Suites
kahului,20.89,-156.47,Maui Beach Hotel
hualmay,-11.1,-77.61,La Posada De Santa Maria
palu,-0.89,119.87,Swiss-Belhotel Palu
tura,25.52,90.22,Hotel Polo Orchid
miandrivazo,-19.52,45.47,Baobab
mae sai,20.43,99.88,The Royal House
rajgarh,28.63,75.38,Vinay Plaza Hotel
port blair,11.67,92.75,Sinclairs Bayview Port Blair
eyl,7.98,49.82,Amiin Hotel
henties bay,-22.12,14.28,Huis Klipdrift
lubao,14.92,120.55,Pradera Verde
dukat,62.55,155.55,
salalah,17.02,54.09,Salalah Gardens Hotel
mongu,-15.25,23.13,Acamms Gardens Lodge Mongu
alofi,-19.06,-169.92,Taloa Heights
am timan,11.03,20.28,
port augusta,-32.5,137.77,Comfort Inn & Suites Augusta Westside
bandundu,-3.32,17.37,Hôtel Bondo
tucuman,-26.82,-65.22,Sheraton Tucuman Hotel
barahona,18.21,-71.1,Hotel Caribe
ibra,22.69,58.53,تفضل بيت ضيافة Geust house tafadal
arona,28.1,-16.68,H10 Las Palmeras
north bend,43.41,-124.22,Best Western Holiday Hotel
jutai,-5.18,-68.9,
port hardy,50.7,-127.42,Glen Lyon Inn
mulchen,-37.72,-72.23,Hotel Mulchén
zemio,5.03,25.14,
lexington,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
aykhal,66.0,111.5,
korla,41.76,86.15,Loulan Hotel
montreal,45.51,-73.59,Best Western Plus Montreal Downtown-Hotel Europa
abu samrah,35.3,37.18,
stornoway,58.21,-6.39,Royal Hotel
arman,59.7,150.17,
hasaki,35.73,140.83,Inubosaki Kanko Hotel
kuytun,54.34,101.5,Zhemchug
kamaishi,39.27,141.88,Hotel Folkloro Sanriku Kamaishi
kribi,2.95,9.92,Hôtel SAMAKI Plage
kulhudhuffushi,6.62,73.07,Hondaafushi Island Resort
aksu,41.12,80.26,Pudong Holiday Hotel
gazojak,41.19,61.4,
antsohihy,-14.88,47.99,Hotel Belle Vue
padang,-0.95,100.35,Mercure Padang
doha,25.29,51.53,Safir Hotel Doha
barguzin,53.62,109.62,"Gostevoy Dom S.barguzin ""Vizit"""
